filepath,filename,folder,language,discipline,tokens,sentences,pairs,tokens_per_sentence
conllu/conllu_file/en/Bus/Bus14_en.conllu,Bus14_en.conllu,conllu/conllu_file/en/Bus,en,Bus,2403,113,112,21.265486725663717
conllu/conllu_file/en/Bus/Bus15_en.conllu,Bus15_en.conllu,conllu/conllu_file/en/Bus,en,Bus,2740,133,132,20.601503759398497
conllu/conllu_file/en/Bus/Bus16_en.conllu,Bus16_en.conllu,conllu/conllu_file/en/Bus,en,Bus,3333,223,222,14.946188340807176
conllu/conllu_file/en/Bus/Bus1_en.conllu,Bus1_en.conllu,conllu/conllu_file/en/Bus,en,Bus,1377,72,71,19.125
conllu/conllu_file/en/Bus/Bus2_en.conllu,Bus2_en.conllu,conllu/conllu_file/en/Bus,en,Bus,2949,148,147,19.925675675675677
conllu/conllu_file/en/Bus/Bus3_en.conllu,Bus3_en.conllu,conllu/conllu_file/en/Bus,en,Bus,1992,153,152,13.019607843137255
conllu/conllu_file/en/Bus/Bus4_en.conllu,Bus4_en.conllu,conllu/conllu_file/en/Bus,en,Bus,3487,205,204,17.009756097560974
conllu/conllu_file/en/Bus/Bus5_en.conllu,Bus5_en.conllu,conllu/conllu_file/en/Bus,en,Bus,2761,149,148,18.530201342281877
conllu/conllu_file/en/Bus/Bus6_en.conllu,Bus6_en.conllu,conllu/conllu_file/en/Bus,en,Bus,1073,54,53,19.87037037037037
conllu/conllu_file/en/Bus/Bus7_en.conllu,Bus7_en.conllu,conllu/conllu_file/en/Bus,en,Bus,1446,85,84,17.011764705882353
conllu/conllu_file/en/Bus/Bus8_en.conllu,Bus8_en.conllu,conllu/conllu_file/en/Bus,en,Bus,1401,87,86,16.103448275862068
conllu/conllu_file/en/Bus/Bus9_en.conllu,Bus9_en.conllu,conllu/conllu_file/en/Bus,en,Bus,1446,82,81,17.634146341463413
conllu/conllu_file/en/Edu/Edu10_en.conllu,Edu10_en.conllu,conllu/conllu_file/en/Edu,en,Edu,2390,114,113,20.964912280701753
conllu/conllu_file/en/Edu/Edu11_en.conllu,Edu11_en.conllu,conllu/conllu_file/en/Edu,en,Edu,3714,149,148,24.926174496644297
conllu/conllu_file/en/Edu/Edu12_en.conllu,Edu12_en.conllu,conllu/conllu_file/en/Edu,en,Edu,3611,221,220,16.339366515837103
